"gender","Grade","LxclScor","FlldScor","cnfgrtnLR","cnfgrtnUD","RdcNoMuti","RdcNodub","trspT","trspV","SRngA","SRngH","PType_Onset","PType_Rime","PType_Tone","PType_None","PType_Mark","PType_1of3","PType_2of3","PType_3of3","MMCScor","MMPScor","MMFScor","COnstScor","CRimScor","CTnScor","POnstScor","PRimScor","PTnScor","DD","stud_ids"
"0","6",47,49,15,22,20,17,17,20,10,27,22,18,20,4,4,8,11,10,37,2,3,6,7,3,4,3,2,"Normal",11180711
"1","6",47,48,15,19,14,20,18,16,6,28,19,15,17,4,4,10,7,9,34,1,1,3,8,8,3,4,3,"Normal",11180712
"1","6",49,50,17,24,21,20,20,21,11,30,24,19,22,5,3,13,8,12,41,2,1,7,4,4,4,1,1,"Normal",11180713
"1","6",43,44,6,11,11,6,8,9,4,13,8,6,8,2,2,5,7,1,17,1,1,16,6,19,12,3,11,"Normal",11180715
"1","6",45,48,3,11,7,7,8,6,4,10,9,6,7,2,1,3,5,3,14,1,4,19,15,11,14,9,7,"Normal",11180716
"1","6",50,50,15,24,19,20,19,20,10,29,23,16,22,4,4,11,10,10,39,1,3,5,6,4,3,3,3,"Normal",11180718
"0","6",47,47,16,25,17,24,20,21,10,31,25,18,23,5,2,12,12,10,41,0,2,4,3,2,3,2,1,"Normal",11180719
"1","6",43,47,8,7,7,8,9,6,3,12,6,6,10,2,1,6,2,4,15,0,3,19,22,2,14,15,4,"Normal",11180720
"0","6",49,50,16,24,22,18,21,19,11,29,25,17,20,3,5,12,10,10,40,1,1,7,4,5,3,1,4,"Normal",11180721
"1","6",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,2,0,"Normal",11180722
"0","6",47,50,14,18,19,13,14,18,9,23,21,14,17,2,4,9,8,9,32,1,3,4,8,9,5,5,6,"Normal",11180723
"0","6",49,50,14,27,19,22,22,19,11,30,21,18,20,5,5,12,10,9,41,1,2,5,5,4,4,4,1,"Normal",11180724
"1","6",50,50,19,28,22,25,23,24,13,34,28,22,24,5,5,12,13,12,47,0,0,2,2,0,1,0,0,"Normal",11180725
"0","6",49,49,16,28,21,23,23,21,12,32,27,21,23,5,3,12,13,11,44,0,2,4,3,2,3,2,3,"Normal",11180726
"0","6",44,48,12,21,15,18,16,17,9,24,17,16,16,3,4,11,7,8,33,1,2,4,8,6,2,4,4,"Normal",11180727
"1","6",50,50,15,20,20,15,19,16,9,26,21,15,20,3,5,8,9,10,35,0,2,7,8,10,5,3,7,"Normal",11180728
"1","6",32,34,8,16,12,12,17,7,3,21,12,9,11,4,1,9,7,3,24,1,1,5,5,6,1,1,3,"Normal",11180729
"1","6",46,48,14,22,17,19,17,19,9,27,21,15,20,2,4,11,12,7,36,0,4,8,5,4,4,5,1,"Normal",11180730
"0","6",41,50,4,16,9,11,11,9,6,14,14,9,14,2,0,4,9,5,20,0,1,4,14,17,2,11,10,"Normal",11180731
"1","6",49,50,14,25,17,22,18,21,11,28,22,17,20,4,4,13,8,10,39,0,3,5,5,8,5,3,4,"Normal",11180732
"1","6",4,4,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2,1,0,1,0,0,"Dyslexia",11180733
"0","6",33,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,16,0,14,10,0,"Dyslexia",11180734
"1","6",48,50,18,24,21,21,22,20,12,30,25,17,22,5,4,12,11,10,42,0,1,3,3,5,1,3,3,"Normal",11180735
"0","6",28,32,0,3,2,1,3,0,0,3,3,1,2,0,0,0,3,0,3,0,2,9,5,10,8,4,6,"Normal",11180736
"1","6",49,50,16,23,18,21,21,18,11,28,24,18,19,3,4,13,9,10,39,0,5,7,4,4,3,2,5,"Normal",11180737
"0","6",50,50,19,27,22,24,22,24,13,33,27,22,22,5,5,13,11,12,46,2,1,1,2,3,0,1,1,"Normal",11180738
"1","6",49,50,18,23,18,23,20,21,10,31,25,17,23,5,4,11,9,12,41,2,0,5,2,5,1,2,1,"Normal",11180739
"1","6",44,50,9,13,12,10,13,9,7,15,14,9,13,3,3,2,8,6,22,0,3,8,11,15,5,9,9,"Normal",11180740
"1","6",49,49,12,22,16,18,18,16,10,24,22,14,19,4,2,10,9,9,34,1,2,9,5,11,4,5,3,"Normal",11180741
"1","6",50,50,20,27,23,24,23,24,14,33,28,21,24,4,5,14,13,11,47,0,2,3,3,0,2,2,1,"Normal",11180742
"0","6",42,48,13,17,13,17,14,16,8,22,19,13,16,2,3,9,9,7,30,0,3,5,8,8,4,4,5,"Normal",11180743
"0","6",50,50,13,20,17,16,15,18,9,24,18,18,17,3,5,7,8,10,33,2,2,10,11,9,6,2,9,"Normal",11180744
"0","6",47,50,13,11,12,12,10,14,6,18,16,14,12,1,3,6,6,8,24,2,3,17,6,14,9,3,13,"Normal",11180745
"1","6",45,50,3,9,5,7,7,5,2,10,4,6,9,1,0,5,4,2,12,0,3,27,25,1,20,12,4,"Normal",11180746
"1","6",46,47,10,19,16,13,19,10,8,21,17,12,14,4,3,7,9,6,29,0,2,7,9,13,4,5,9,"Normal",11180747
"0","6",46,49,15,23,18,20,19,19,8,30,25,22,19,3,2,12,9,12,38,0,0,3,3,7,3,2,6,"Normal",11180748
"0","6",48,48,19,24,18,25,20,23,13,30,26,18,21,5,4,13,11,10,43,0,1,3,2,2,2,2,1,"Normal",11180749
"1","6",38,38,11,18,12,17,16,13,7,22,16,11,14,5,3,7,8,6,29,1,0,4,5,3,1,3,2,"Normal",11180750
"1","6",49,50,15,26,18,23,22,19,11,30,25,19,23,4,2,13,12,10,41,1,1,4,2,3,2,1,2,"Normal",11180751
"0","6",50,50,16,26,21,21,20,22,13,29,27,20,22,4,3,12,12,11,42,0,3,2,5,5,2,4,3,"Normal",11180752
"1","6",50,50,15,22,20,17,19,18,10,27,23,16,20,4,5,8,9,11,37,1,1,5,3,8,1,3,4,"Normal",11180753
"1","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Normal",11180754
"1","6",40,40,5,10,7,8,8,7,5,10,10,7,8,2,1,3,5,4,15,1,6,17,19,1,10,12,2,"Normal",11181202
"0","6",50,50,19,27,23,23,23,23,13,33,28,21,23,5,4,13,13,11,46,0,1,4,2,2,3,2,2,"Normal",11181203
"1","6",44,47,3,3,4,2,3,3,1,5,4,1,4,1,1,0,3,1,6,1,4,30,21,8,19,11,12,"Normal",11181204
"1","6",49,50,13,25,16,22,20,18,7,31,21,16,19,4,4,11,12,7,38,1,3,9,5,5,6,5,5,"Normal",11181205
"0","6",50,50,19,26,20,25,22,23,13,32,27,21,25,5,4,12,11,13,45,1,1,4,2,2,2,1,2,"Normal",11181206
"0","6",49,50,13,21,17,17,16,18,8,26,24,18,18,3,2,7,13,9,34,0,2,9,4,13,3,1,7,"Normal",11181207
"1","6",48,50,14,25,18,21,21,18,10,29,21,17,18,5,5,11,9,9,39,1,3,3,4,6,2,3,2,"Normal",11181208
"0","6",49,50,19,29,23,25,23,25,14,34,29,22,25,5,4,14,13,12,48,0,1,0,1,0,0,1,0,"Normal",11181209
"0","6",49,50,18,23,22,19,19,22,11,30,25,17,23,5,3,12,10,11,41,0,1,5,3,8,4,2,3,"Normal",11181210
"0","6",49,50,16,24,21,19,21,19,11,29,24,18,19,4,5,10,12,9,40,0,3,5,6,3,2,2,1,"Normal",11181211
"1","6",49,49,15,24,22,17,19,20,10,29,22,17,19,5,5,10,9,10,39,1,1,6,3,9,5,2,6,"Normal",11181212
"1","6",25,27,1,1,1,1,2,0,0,2,1,1,1,0,1,0,0,1,2,0,1,8,2,7,5,2,9,"Normal",11181213
"1","6",46,47,14,24,19,19,21,17,9,29,23,18,19,4,4,10,10,10,38,0,2,6,3,6,2,2,3,"Normal",11181214
"1","6",36,36,8,14,10,12,13,9,3,19,14,9,15,1,2,6,7,6,22,1,2,8,7,10,3,4,4,"Normal",11181215
"0","6",49,50,19,21,19,21,18,22,13,27,24,20,22,4,4,9,12,11,40,0,1,4,6,4,4,1,3,"Normal",11181216
"0","6",50,50,16,21,18,19,16,21,9,28,22,17,18,3,5,10,10,9,37,2,5,8,8,5,3,4,1,"Normal",11181217
"1","6",45,46,14,23,15,22,18,19,9,28,20,16,19,5,3,11,10,8,37,1,3,3,4,7,2,3,4,"Normal",11181218
"0","6",50,50,19,27,21,25,22,24,14,32,27,20,24,5,4,14,12,11,46,1,2,2,3,2,1,2,2,"Normal",11181219
"1","6",41,44,14,21,16,19,16,19,11,24,21,17,18,3,3,10,11,8,35,0,2,2,4,5,2,0,4,"Normal",11181220
"0","6",50,50,17,26,21,22,22,21,12,31,26,20,23,4,4,12,12,11,43,0,2,3,2,3,2,1,2,"Normal",11181221
"0","6",45,46,17,25,20,22,22,20,12,30,23,18,21,5,4,14,9,10,42,1,0,2,1,1,1,0,1,"Normal",11181222
"1","6",48,48,15,24,17,22,23,16,8,31,21,17,19,4,5,11,11,8,39,1,1,8,5,4,5,4,2,"Normal",11181223
"1","6",49,50,17,25,22,20,20,22,12,30,26,19,23,3,5,11,12,11,42,0,2,5,2,4,3,2,2,"Normal",11181224
"1","6",41,42,7,16,10,13,12,11,4,19,14,9,12,2,3,5,9,4,23,0,1,16,3,10,12,3,7,"Normal",11181225
"1","6",4,4,1,3,1,3,2,2,1,3,3,3,4,0,0,1,0,3,4,0,0,0,0,0,0,0,0,"Normal",11181226
"0","6",50,50,16,24,19,21,20,20,10,30,25,19,21,4,3,12,10,11,40,1,1,5,7,5,3,2,5,"Normal",11181227
"1","6",50,50,17,24,19,22,21,20,13,28,25,18,21,4,4,11,13,9,41,2,2,5,8,3,2,6,2,"Normal",11181228
"0","6",50,50,16,24,18,22,21,19,11,29,22,18,17,5,5,11,11,8,40,0,0,4,2,5,5,2,4,"Normal",11181229
"0","6",50,50,15,25,22,18,22,18,10,30,24,18,20,4,5,10,11,10,40,0,2,6,5,4,5,3,3,"Normal",11181230
"1","6",47,47,13,20,15,18,15,18,9,24,20,17,18,3,3,8,10,9,33,1,1,11,8,6,6,2,6,"Normal",11181231
"1","6",49,50,14,23,15,22,19,18,8,29,21,16,20,5,2,11,11,8,37,1,2,10,9,3,8,6,3,"Normal",11181232
"0","6",50,50,20,26,23,23,22,24,14,32,27,20,23,5,5,13,12,11,46,0,1,1,2,2,1,2,1,"Normal",11181233
"1","6",49,50,18,24,20,22,20,22,11,31,24,19,22,5,4,12,10,11,42,1,2,4,4,6,3,5,3,"Normal",11181234
"1","6",34,36,7,13,8,12,11,9,5,15,11,10,12,1,2,6,6,5,20,1,1,6,7,10,4,5,3,"Normal",11181235
"0","6",47,47,17,24,17,24,19,22,11,30,23,19,21,5,4,11,11,10,41,0,0,2,2,4,2,1,2,"Normal",11181237
"0","6",49,49,17,25,22,20,21,21,13,29,24,17,22,4,5,13,10,10,42,0,3,3,4,4,3,2,2,"Normal",11181238
"1","6",45,50,8,21,13,16,13,16,8,21,16,14,18,2,3,8,8,8,29,1,3,13,6,8,10,2,4,"Normal",11181239
"0","6",49,49,13,27,23,17,22,18,11,29,24,19,21,3,4,12,11,10,40,0,2,6,4,4,3,2,3,"Normal",11181240
"1","6",49,50,13,26,20,19,21,18,10,29,23,17,23,4,3,11,11,10,39,1,3,7,5,7,6,3,4,"Normal",11181241
"0","6",50,50,19,26,20,25,22,23,12,33,27,21,23,5,4,12,13,11,45,0,0,3,2,2,3,2,2,"Normal",11181242
"1","6",49,49,10,17,12,15,15,12,8,19,17,10,15,2,2,10,7,6,27,0,4,15,17,7,10,11,6,"Normal",11181243
"0","6",43,47,5,5,3,7,4,6,3,7,6,5,7,0,1,4,1,4,10,1,4,22,10,21,13,4,14,"Normal",11181244
"0","6",49,50,16,27,20,23,20,23,12,31,25,21,22,5,4,11,12,11,43,0,1,4,3,2,4,1,2,"Normal",11181245
"1","6",50,50,16,24,18,22,19,21,11,29,25,18,22,5,4,8,12,11,40,0,4,5,4,6,4,4,5,"Normal",11181246
"1","6",46,47,12,19,14,17,15,16,8,23,16,13,12,3,5,10,8,5,31,1,4,11,10,6,6,6,3,"Normal",11181248
"1","6",50,50,14,23,18,19,21,16,11,26,24,17,19,3,3,11,11,9,37,0,3,9,6,7,4,4,6,"Normal",11181249
"1","6",49,50,15,19,15,19,15,19,9,25,20,15,17,5,3,9,8,9,34,1,5,7,11,7,6,7,6,"Normal",11181251
"0","6",43,46,5,8,5,8,8,5,3,10,5,3,6,3,1,5,3,1,13,3,5,23,25,2,15,15,4,"Normal",11181253
"0","5",50,50,19,28,24,23,22,25,13,34,29,23,24,5,5,11,13,13,47,1,1,1,2,1,1,0,1,"Normal",11190401
"1","5",50,50,17,27,20,24,19,25,12,32,27,20,24,5,3,12,13,11,44,0,2,2,4,5,3,5,3,"Normal",11190402
"0","5",50,50,18,26,21,23,22,22,12,32,26,21,22,5,4,12,12,11,44,2,1,3,2,2,1,2,1,"Normal",11190403
"0","5",50,50,13,25,18,20,20,18,9,29,22,18,19,5,4,10,8,11,38,1,3,9,2,9,8,2,6,"Normal",11190404
"1","5",48,49,16,24,18,22,20,20,12,28,23,17,20,5,3,13,10,9,40,0,0,4,4,3,4,4,1,"Normal",11190405
"1","5",50,50,17,27,21,23,20,24,12,32,25,20,22,5,5,11,13,10,44,0,2,3,4,4,2,4,2,"Normal",11190406
"0","5",50,50,19,26,20,25,21,24,13,32,25,21,23,5,5,13,10,12,45,0,1,2,2,3,2,1,1,"Normal",11190407
"1","5",50,50,15,24,16,23,20,19,10,29,22,17,19,4,4,12,11,8,39,0,3,8,5,7,6,5,6,"Normal",11190408
"1","5",46,48,13,21,13,21,20,14,9,25,18,16,17,2,5,11,8,8,34,1,1,7,5,6,4,4,5,"Normal",11190409
"1","5",47,50,10,19,11,18,15,14,6,23,16,15,18,2,2,10,6,9,29,2,3,11,9,9,7,5,3,"Normal",11190410
"0","5",49,50,12,26,20,18,20,18,9,29,19,15,18,4,5,12,11,6,38,2,5,8,4,6,5,2,5,"Normal",11190411
"1","5",49,50,17,22,20,19,21,18,10,29,23,17,19,5,5,9,10,10,39,2,3,6,4,7,1,3,6,"Normal",11190412
"0","5",48,48,16,24,19,21,22,18,11,29,23,18,18,5,5,10,11,9,40,0,1,4,3,5,2,2,3,"Normal",11190413
"1","5",47,50,15,22,19,18,18,19,12,25,24,19,20,3,4,8,11,11,37,1,2,8,2,9,5,2,6,"Normal",11190414
"1","5",50,50,9,25,17,17,17,17,7,27,20,16,16,3,5,8,10,8,34,0,3,11,5,13,8,3,9,"Normal",11190415
"0","5",49,50,8,20,15,13,14,14,6,22,19,12,14,4,0,9,9,6,28,0,5,8,12,12,6,10,9,"Normal",11190416
"1","5",47,50,9,20,15,14,15,14,8,21,18,13,17,4,2,7,7,9,29,3,3,10,6,12,4,4,9,"Normal",11190417
"1","5",49,50,15,21,18,18,18,18,8,28,25,17,21,4,2,8,11,11,36,1,1,7,3,9,3,2,4,"Normal",11190418
"1","5",47,49,15,22,18,19,18,19,11,26,24,18,21,3,3,9,12,10,37,0,1,5,6,5,3,3,5,"Normal",11190419
"0","5",43,48,9,16,12,13,14,11,6,19,12,13,16,2,3,7,5,8,25,3,3,14,17,3,10,8,4,"Normal",11190420
"0","5",49,50,13,20,17,16,14,19,7,26,20,14,21,2,3,9,11,8,33,0,3,10,9,7,5,6,2,"Normal",11190421
"1","5",46,50,17,24,18,23,21,20,10,31,24,18,21,4,5,11,11,10,41,0,1,3,0,4,2,1,2,"Normal",11190422
